date,playgroup_num,playgroup_name,num_victories,num_losses,num_deaths,level
2021-07-26 18:25:18.779317+00:00,30,Pilos,5,0,0,Any
2021-07-27 03:03:40.596619+00:00,28,Dark Mirror,3,0,0,Newbie or Novice
2021-07-27 06:00:00+00:00,13,Maelstrom,3,0,0,Newbie or Novice
2021-07-28 01:31:52.871565+00:00,96,Starship Troopers,5,0,0,Any
2021-07-29 00:09:24.975329+00:00,80,Realm of mysteries,0,4,0,Newbie or Novice
2021-07-29 02:06:37.373560+00:00,89,The Tattered Curtain,3,0,0,Newbie or Novice
2021-07-29 21:28:18.664260+00:00,50,The World's End Society,2,0,1,Newbie or Novice
2021-07-30 22:02:48.203748+00:00,71,World of Darkness,4,0,0,Any
2021-07-31 05:36:25.495870+00:00,32,Project *******,7,0,0,Any
2021-07-31 17:10:22.196331+00:00,13,Maelstrom,2,2,0,Newbie or Novice
2021-07-31 22:14:46.092353+00:00,85,Diverwyn,3,0,0,Any
2021-08-02 02:11:35.879377+00:00,32,Project *******,0,4,0,Newbie or Novice
2021-08-02 06:59:29.187437+00:00,38,The Netherworld,4,0,0,Newbie or Novice
2021-08-04 04:35:39.962150+00:00,80,Realm of mysteries,4,0,0,Newbie or Novice
2021-08-05 00:27:12.698267+00:00,89,The Tattered Curtain,1,3,0,Newbie or Novice
2021-08-06 05:07:54.657752+00:00,32,Project *******,4,0,0,Any
2021-08-07 04:59:43.056557+00:00,13,Maelstrom,0,1,3,Newbie or Novice
2021-08-07 23:32:53.437778+00:00,32,Project *******,4,0,0,Any
2021-08-08 07:53:58.869702+00:00,32,Project *******,3,0,2,Any
2021-08-08 20:59:57.195796+00:00,50,The World's End Society,3,0,0,Newbie or Novice
2021-08-09 06:23:00+00:00,32,Project *******,4,0,1,Any
2021-08-10 10:51:00+00:00,13,Maelstrom,2,0,3,Newbie or Novice
2021-08-10 23:42:47.233680+00:00,80,Realm of mysteries,6,0,0,Any
2021-08-11 04:27:08.517285+00:00,38,The Netherworld,3,0,0,Novice
2021-08-11 19:43:51.418085+00:00,71,World of Darkness,4,0,0,Newbie or Novice
2021-08-12 01:57:16.872179+00:00,108,Illuminated Earth 2,3,0,0,Newbie
2021-08-12 02:18:59.049824+00:00,80,Realm of mysteries,3,0,0,Newbie or Novice
2021-08-13 07:04:17.497974+00:00,13,Maelstrom,3,0,0,Newbie or Novice
2021-08-14 02:15:00+00:00,13,Maelstrom,4,0,0,Newbie or Novice
2021-08-14 23:27:50.258828+00:00,13,Maelstrom,3,0,0,Newbie or Novice
2021-08-18 02:18:41.004306+00:00,71,World of Darkness,3,1,0,Novice
2021-08-19 04:28:54.689810+00:00,32,Project *******,2,0,1,Any
2021-08-19 20:11:55.738530+00:00,78,Hunters world,4,0,1,Any
2021-08-20 02:01:00+00:00,91,Happy marshmallow pony hug land,0,2,1,Any
2021-08-21 11:10:21.751475+00:00,32,Project *******,5,0,0,Newbie or Novice
2021-08-22 05:17:05.867194+00:00,13,Maelstrom,3,0,0,Any
2021-08-22 20:58:29.272347+00:00,85,Diverwyn,5,0,0,Newbie or Novice
2021-08-22 23:39:01.277959+00:00,32,Project *******,3,0,0,Any
2021-08-23 04:27:52.309280+00:00,32,Project *******,3,0,0,Any
2021-08-24 05:13:10.304149+00:00,13,Maelstrom,1,3,0,Newbie or Novice
2021-08-25 03:43:35.447310+00:00,13,Maelstrom,5,0,1,Newbie or Novice
2021-08-26 05:32:03.161772+00:00,80,Realm of mysteries,1,0,4,Newbie or Novice
2021-08-27 03:10:18.184817+00:00,32,Project *******,3,0,1,Newbie or Novice
2021-08-28 04:21:04.164455+00:00,80,Realm of mysteries,4,0,0,Seasoned
2021-08-29 04:57:16.359552+00:00,34,The Lights Went Out,4,0,0,Newbie or Novice
2021-08-30 00:33:44.548953+00:00,13,Maelstrom,4,0,1,Newbie or Novice
2021-08-30 05:51:00+00:00,13,Maelstrom,3,0,0,Newbie or Novice
2021-08-30 16:54:16.215834+00:00,118,Neverworld,5,0,0,Any
2021-08-31 02:45:58.731588+00:00,32,Project *******,1,3,0,Any
2021-09-01 02:22:00+00:00,13,Maelstrom,2,2,1,Newbie or Novice
2021-09-02 05:49:41.334147+00:00,32,Project *******,3,0,1,Any
2021-09-04 22:55:24.518535+00:00,32,Project *******,4,0,0,Any
2021-09-06 06:36:46.713523+00:00,121,Reset Earth,3,0,0,Novice
2021-09-07 02:05:57.954955+00:00,89,The Tattered Curtain,5,0,0,Any
2021-09-07 04:46:53.142430+00:00,89,The Tattered Curtain,4,0,0,Newbie or Novice
2021-09-07 23:07:01.498905+00:00,13,Maelstrom,4,0,0,Any
2021-09-09 02:22:03.813984+00:00,51,Corryvreckan,0,0,4,Any
2021-09-09 15:49:27.095902+00:00,30,Pilos,1,2,0,Any
2021-09-11 03:26:15.332265+00:00,13,Maelstrom,3,0,1,Newbie or Novice
2021-09-11 05:24:01.794789+00:00,13,Maelstrom,5,0,1,Any
2021-09-12 07:43:59.353200+00:00,13,Maelstrom,4,0,0,Any
2021-09-13 05:04:54.408832+00:00,13,Maelstrom,3,0,0,Novice
2021-09-14 03:31:40.772043+00:00,32,Project *******,4,1,0,Any
2021-09-15 04:09:00+00:00,32,Project *******,3,0,1,Any
2021-09-16 06:48:45.617159+00:00,34,The Lights Went Out,3,0,0,Newbie or Novice
2021-09-18 02:17:14.632134+00:00,122,Dark Future,3,0,0,Any
2021-09-19 08:23:27.817647+00:00,13,Maelstrom,6,0,0,Novice
2021-09-20 22:56:00+00:00,118,Neverworld,5,0,0,Any
2021-09-23 04:19:23.627610+00:00,13,Maelstrom,3,0,0,Any
2021-09-25 03:19:00+00:00,51,Corryvreckan,2,0,1,Any
2021-09-25 03:49:46.282599+00:00,13,Maelstrom,2,2,0,Newbie or Novice
2021-09-25 18:55:43.435886+00:00,73,Age of Expansion,3,0,0,Any
2021-09-26 03:08:50.457530+00:00,13,Maelstrom,2,0,1,Any
2021-09-27 04:58:00+00:00,34,The Lights Went Out,3,0,0,Seasoned
2021-09-27 06:12:00+00:00,91,Happy marshmallow pony hug land,3,0,1,Newbie or Novice
2021-10-01 09:07:58.494478+00:00,122,Dark Future,5,0,0,Newbie or Novice
2021-10-02 14:58:00+00:00,123,The City,3,0,0,Any
2021-10-03 02:00:00+00:00,20,The Mythos,0,0,1,Any
2021-10-03 04:03:00+00:00,13,Maelstrom,1,2,0,Any
2021-10-05 15:34:06.878641+00:00,13,Maelstrom,4,0,0,Seasoned
2021-10-06 01:04:32.532087+00:00,13,Maelstrom,3,0,0,Newbie or Novice
2021-10-09 02:27:43.457563+00:00,13,Maelstrom,5,0,0,Any
2021-10-09 16:16:19.641293+00:00,123,The City,2,0,0,Any
2021-10-11 01:45:00+00:00,89,The Tattered Curtain,5,0,0,Newbie or Novice
2021-10-11 02:49:00+00:00,32,Project *******,4,0,1,Any
2021-10-12 06:29:45.448872+00:00,38,The Netherworld,1,0,3,Seasoned
2021-10-13 04:33:13.651484+00:00,32,Project *******,3,0,0,Any
2021-10-15 02:20:31.169776+00:00,89,The Tattered Curtain,0,5,0,Any
2021-10-15 02:28:00.949841+00:00,34,The Lights Went Out,2,0,0,Newbie
2021-10-15 06:35:21.384673+00:00,32,Project *******,4,0,0,Any
2021-10-15 14:01:36.674321+00:00,123,The City,2,0,0,Any
2021-10-15 18:54:11.852129+00:00,38,The Netherworld,1,0,1,Novice
2021-10-16 04:51:35.719667+00:00,13,Maelstrom,3,0,0,Any
2021-10-16 05:56:05.121172+00:00,32,Project *******,3,1,1,Any
2021-10-18 01:55:04.439305+00:00,20,The Mythos,4,1,0,Any
2021-10-20 13:35:00+00:00,129,Earth Î¶,3,0,0,Any
2021-10-20 17:56:21.978007+00:00,30,Pilos,4,0,0,Any
